Device,Test Name,Test Status,Message(s),Test description,Test category
campus-leaf3,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
campus-leaf3,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
campus-leaf3,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
campus-leaf3,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
campus-leaf3,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
campus-leaf3,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
campus-leaf3,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
campus-leaf3,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
campus-leaf3,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
campus-leaf3,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
campus-leaf3,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
campus-leaf3,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
campus-leaf3,VerifyCoredump,success,,Verifies there are no core dump files.,System
campus-leaf3,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
campus-leaf3,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
campus-leaf3,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
campus-leaf3,VerifyNTP,success,,Verifies if NTP is synchronised.,System
campus-leaf3,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
campus-leaf4,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
campus-leaf4,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
campus-leaf4,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
campus-leaf4,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
campus-leaf4,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
campus-leaf4,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
campus-leaf4,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
campus-leaf4,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
campus-leaf4,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
campus-leaf4,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
